Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Oct 07 2020 13:47:13 GMT+0530 (India Standard Time)

Geography,Date,Syndrome,Percent
Alabama,2020-08-08,CLI,5.1
Alabama,2020-08-09,CLI,5
Alabama,2020-08-10,CLI,4.9
Alabama,2020-08-11,CLI,4.8
Alabama,2020-08-12,CLI,4.6
Alabama,2020-08-13,CLI,4.3
Alabama,2020-08-14,CLI,3.9
Alabama,2020-08-15,CLI,4.4
Alabama,2020-08-16,CLI,4.4
Alabama,2020-08-17,CLI,4
Alabama,2020-08-18,CLI,4.4
Alabama,2020-08-19,CLI,4.5
Alabama,2020-08-20,CLI,3.8
Alabama,2020-08-21,CLI,4.1
Alabama,2020-08-22,CLI,3.7
Alabama,2020-08-23,CLI,3.4
Alabama,2020-08-24,CLI,3.4
Alabama,2020-08-25,CLI,3.7
Alabama,2020-08-26,CLI,3.7
Alabama,2020-08-27,CLI,2.8
Alabama,2020-08-28,CLI,3.3
Alabama,2020-08-29,CLI,3.5
Alabama,2020-08-30,CLI,3.5
Alabama,2020-08-31,CLI,3.6
Alabama,2020-09-01,CLI,3.2
Alabama,2020-09-02,CLI,3.4
Alabama,2020-09-03,CLI,3
Alabama,2020-09-04,CLI,3.3
Alabama,2020-09-05,CLI,3.2
Alabama,2020-09-06,CLI,3.4
Alabama,2020-09-07,CLI,3.4
Alabama,2020-09-08,CLI,3.5
Alabama,2020-09-09,CLI,3.3
Alabama,2020-09-10,CLI,3.4
Alabama,2020-09-11,CLI,2.7
Alabama,2020-09-12,CLI,3.4
Alabama,2020-09-13,CLI,3
Alabama,2020-09-14,CLI,3.3
Alabama,2020-09-15,CLI,2.9
Alabama,2020-09-16,CLI,3.1
Alabama,2020-09-17,CLI,2.8
Alabama,2020-09-18,CLI,3.4
Alabama,2020-09-19,CLI,3.4
Alabama,2020-09-20,CLI,3
Alabama,2020-09-21,CLI,2.7
Alabama,2020-09-22,CLI,2.9
Alabama,2020-09-23,CLI,2.6
Alabama,2020-09-24,CLI,2.8
Alabama,2020-09-25,CLI,3.2
Alabama,2020-09-26,CLI,2.5
Alabama,2020-09-27,CLI,3.4
Alabama,2020-09-28,CLI,2.8
Alabama,2020-09-29,CLI,3.3
Alabama,2020-09-30,CLI,2.2
Alabama,2020-10-01,CLI,2.3
Alabama,2020-10-02,CLI,2.1
Alabama,2020-10-03,CLI,2.1
Alaska,2020-08-08,CLI,2.3
Alaska,2020-08-09,CLI,3.4
Alaska,2020-08-10,CLI,3.3
Alaska,2020-08-11,CLI,2.2
Alaska,2020-08-12,CLI,2.3
Alaska,2020-08-13,CLI,2.3
Alaska,2020-08-14,CLI,2.6
Alaska,2020-08-15,CLI,2
Alaska,2020-08-16,CLI,3
Alaska,2020-08-17,CLI,2.1
Alaska,2020-08-18,CLI,2.3
Alaska,2020-08-19,CLI,2.8
Alaska,2020-08-20,CLI,2.4
Alaska,2020-08-21,CLI,1.3
Alaska,2020-08-22,CLI,2.9
Alaska,2020-08-23,CLI,1.9
Alaska,2020-08-24,CLI,2.6
Alaska,2020-08-25,CLI,2.3
Alaska,2020-08-26,CLI,2.2
Alaska,2020-08-27,CLI,1.9
Alaska,2020-08-28,CLI,1.2
Alaska,2020-08-29,CLI,2.6
Alaska,2020-08-30,CLI,3.4
Alaska,2020-08-31,CLI,2.4
Alaska,2020-09-01,CLI,1.6
Alaska,2020-09-02,CLI,2.5
Alaska,2020-09-03,CLI,2.2
Alaska,2020-09-04,CLI,2
Alaska,2020-09-05,CLI,2.5
Alaska,2020-09-06,CLI,3.3
Alaska,2020-09-07,CLI,2.2
Alaska,2020-09-08,CLI,1.9
Alaska,2020-09-09,CLI,2
Alaska,2020-09-10,CLI,2.7
Alaska,2020-09-11,CLI,2.5
Alaska,2020-09-12,CLI,2
Alaska,2020-09-13,CLI,1.5
Alaska,2020-09-14,CLI,2.5
Alaska,2020-09-15,CLI,1.9
Alaska,2020-09-16,CLI,1.7
Alaska,2020-09-17,CLI,3.2
Alaska,2020-09-18,CLI,1.7
Alaska,2020-09-19,CLI,2.5
Alaska,2020-09-20,CLI,2.8
Alaska,2020-09-21,CLI,2.3
Alaska,2020-09-22,CLI,2.7
Alaska,2020-09-23,CLI,2
Alaska,2020-09-24,CLI,2.9
Alaska,2020-09-25,CLI,1.9
Alaska,2020-09-26,CLI,2.2
Alaska,2020-09-27,CLI,4.1
Alaska,2020-09-28,CLI,2.1
Alaska,2020-09-29,CLI,2.5
Alaska,2020-09-30,CLI,3.2
Alaska,2020-10-01,CLI,2.1
Alaska,2020-10-02,CLI,2.3
Alaska,2020-10-03,CLI,2.2
Arizona,2020-08-08,CLI,4
Arizona,2020-08-09,CLI,4.2
Arizona,2020-08-10,CLI,4
Arizona,2020-08-11,CLI,3.9
Arizona,2020-08-12,CLI,3.4
Arizona,2020-08-13,CLI,2.9
Arizona,2020-08-14,CLI,3.1
Arizona,2020-08-15,CLI,3.4
Arizona,2020-08-16,CLI,2.7
Arizona,2020-08-17,CLI,3
Arizona,2020-08-18,CLI,2.8
Arizona,2020-08-19,CLI,2.9
Arizona,2020-08-20,CLI,3.2
Arizona,2020-08-21,CLI,2.8
Arizona,2020-08-22,CLI,2.7
